plant	t	id	layer	m.vol	n.vol	m.x	m.y	m.z	expr	d2t	circ	age
13	52	702	L1	221.435083001	0.55499719	67.5754953128	67.8924800815	28.0479393843	41.9310645	1.71582563664954	0	40
13	52	703	L1	198.005630192	NA	66.4721036165	58.8659579788	28.4858741135	102.206334875	1.48838149235223	0	24
13	52	704	L1	140.997762801	0.119494059	49.9556678929	62.8153947838	27.643704684	10.5633854	5.02375664930279	2	0
13	52	705	L1	159.611502546	NA	61.7055047078	64.6500143503	28.5151581766	68.758271	1.77870703236083	0	24
13	52	706	L1	140.918816685	0.94510333	64.1807048788	71.2709378771	28.3539937187	28.7948908	2.54855468500077	1	40
13	52	707	L1	204.286232293	NA	59.0562287805	60.2484950069	28.722666573	59.8712037	2.87170348127884	1	24
13	52	708	L1	188.56718346	NA	68.4761814351	62.4851604159	28.4434529977	78.467969375	0.335652785260145	0	24
13	52	709	L1	191.216264234	0.2971578	58.7198243508	69.217432237	28.1709085905	46.953598	3.20353969049908	1	28
13	56	1001	L1	104.69561453	0.2859891	56.0065856035	42.4433222924	34.6102860563	122.31198	2.10651225127939	1	20
13	56	1002	L1	234.848302253	0.40859064	52.5086936141	44.1363696798	34.980885428	116.5977	2.29907689487454	1	20
13	56	1003	L1	248.759347457	0.52189606	58.8076235253	46.0538005266	35.3331087447	152.61061	0.879064097538372	0	32
13	56	1004	L1	159.00729302	0.04983881	43.4292968909	55.1659322906	35.1177066402	9.589814	4.13141663831064	3	4
13	56	1007	L1	144.154426802	0.18300189	47.360370844	61.3708539201	35.8133120644	44.87797	4.25977336887427	3	0
13	56	1009	L1	210.549320084	0.2762063	52.4848419368	61.9397762434	35.811279892	48.419044	3.51500700994566	2	32
13	56	1010	L1	87.3382020587	0.1318003	49.6788438188	48.6031011363	35.6781100958	67.90745	2.70698044129647	2	0
13	56	1011	L1	234.750631925	0.33115554	61.7379178205	60.5732379141	35.6688123427	55.40131	2.44074707436911	2	44
13	56	1012	L1	217.937382707	0.52311283	60.5867968204	51.072369848	35.9969393097	150.39278	0.602462845020455	0	28
13	56	1013	L1	145.431117511	0.19638634	47.0142890254	52.1293817158	35.2231316107	64.01224	3.26036492889423	2	0
13	56	1014	L1	217.721112697	0.40888268	52.8319968005	52.4550607557	36.1644571327	111.907425	2.02642893768502	1	28
13	56	1015	L1	114.371953395	0.035188925	42.6356404336	59.8140024438	35.2458698162	9.560142	4.81167923635475	3	4
13	56	1016	L1	159.816561448	0.109217085	58.2256867183	64.082252366	35.9754906845	13.390229	3.31171708968278	2	44
13	56	1017	L1	107.095514003	0.15701172	48.9738200459	57.2100783504	36.2537301958	57.9605	3.22661656045305	2	0
13	56	1018	L1	176.915845196	0.33602262	55.5220732891	57.1322123838	35.9903369373	108.92427	2.24244266098431	1	28
13	56	1019	L1	205.198381433	0.46894234	62.6207288132	54.9552593458	36.1048391919	156.4537	1.39030066103421	1	28
13	56	523	L3+	116.339312847	0.110920556	66.5912026477	49.2071146386	15.8183221623	16.914703	3.08324940981454	3	0
13	56	552	L3+	246.052484097	0.3338811	51.5876423028	52.3169262265	17.2472711007	38.876095	3.67907174686727	3	0
13	56	582	L3+	312.468306734	0.6298477	62.4247954979	54.3901321407	17.5503551928	60.1846	2.73779960203673	3	0
13	56	590	L3+	265.251679885	0.6761822	62.5281642754	49.2957219914	18.6378656324	72.80964	2.32320700393895	3	0
13	56	616	L3+	264.330788226	0.30419198	48.845627491	48.2172891903	18.323192232	25.261343	3.7785514647542	3	0
13	56	625	L3+	374.523846898	0.7504537	56.0660515239	50.2417128575	19.3413276423	72.13055	2.45282955812685	3	0
13	56	692	L3+	152.12851139	0.17696671	73.4569968677	49.2067825412	22.2175821434	26.837723	3.08551486817608	3	0
13	56	748	L3+	173.992711826	0.15808249	69.6018505498	49.3587369855	23.2358099929	21.847486	2.50672469936993	2	0
13	56	751	L3+	272.89787123	0.170250155	65.7790534945	44.4265893607	23.066602935	11.362585	2.23782433218486	2	0
13	56	760	L3+	334.360412978	0.052369688	60.3465776178	45.4204785753	24.1948464773	8.090131	1.70575641820678	2	56
13	56	783	L3+	152.854062394	0.29051548	60.5329362653	54.7379620644	24.6360721305	34.7333	2.00162054606962	2	0
13	56	789	L3+	192.019863684	0.28579444	57.8159702793	58.1337978135	24.2222081762	44.791897	2.61634380994767	2	0
13	56	790	L3+	298.264250549	0.6357369	65.4941228997	52.8523233473	25.3317365053	62.46967	1.88189609458416	2	40
